value_2025,value_2021,count,fuel_2021,fuel_2025,area_ha
14,19,906,PL01,BN01,81.54
25,29,903,PL11,PL07,81.27
6,27,902,PL09,MT01,81.18
1,21,897,PL03,PCH1,80.73
11,24,894,PL06,MT06,80.46
34,4,887,PCH4,SV03,79.83
12,7,871,MT02,MT07,78.39
34,11,854,MT06,SV03,76.86
22,2,852,PCH2,PL04,76.68
30,23,852,PL05,DX01,76.68
29,1,846,PCH1,PL11,76.14
12,17,837,BN04,MT07,75.33
9,5,836,PCH5,MT04,75.24
18,2,834,PCH2,BN05,75.06
20,25,828,PL07,PL02,74.52
5,24,821,PL06,PCH5,73.89
30,16,818,BN03,DX01,73.62
16,8,817,MT03,BN03,73.53
28,22,815,PL04,PL10,73.35
21,25,803,PL07,PL03,72.27
4,30,801,DX01,PCH4,72.09
18,17,792,BN04,BN05,71.28
23,33,784,SV02,PL05,70.56
26,5,778,PCH5,PL08,70.02
3,30,777,DX01,PCH3,69.93
13,23,760,PL05,MT08,68.4
22,28,750,PL10,PL04,67.5
1,17,746,BN04,PCH1,67.14
20,1,743,PCH1,PL02,66.87
6,23,741,PL05,MT01,66.69
21,1,738,PCH1,PL03,66.42
24,9,732,MT04,PL06,65.88
30,3,730,PCH3,DX01,65.7
28,20,720,PL02,PL10,64.8
8,29,718,PL11,MT03,64.62
12,34,718,SV03,MT07,64.62
26,34,718,SV03,PL08,64.62
6,30,716,DX01,MT01,64.44
24,4,712,PCH4,PL06,64.08
30,21,709,PL03,DX01,63.81
13,6,702,MT01,MT08,63.18
12,24,699,PL06,MT07,62.91
20,3,688,PCH3,PL02,61.92
18,25,687,PL07,BN05,61.83
2,12,675,MT07,PCH2,60.75
19,13,671,MT08,PL01,60.39
7,18,667,BN05,MT02,60.03
25,19,662,PL01,PL07,59.58
11,22,652,PL04,MT06,58.68
2,27,648,PL09,PCH2,58.32
30,4,640,PCH4,DX01,57.6
11,27,616,PL09,MT06,55.44
4,33,614,SV02,PCH4,55.26
8,8,602,MT03,MT03,54.18
21,3,597,PCH3,PL03,53.73
1,9,592,MT04,PCH1,53.28
4,6,584,MT01,PCH4,52.56
3,25,583,PL07,PCH3,52.47
18,30,582,DX01,BN05,52.38
2,22,576,PL04,PCH2,51.84
32,7,574,MT02,SV01,51.66
3,20,573,PL02,PCH3,51.57
34,28,569,PL10,SV03,51.21
18,23,562,PL05,BN05,50.58
31,5,562,PCH5,DX02,50.58
1,25,554,PL07,PCH1,49.86
28,24,552,PL06,PL10,49.68
3,34,547,SV03,PCH3,49.23
6,3,537,PCH3,MT01,48.33
23,24,537,PL06,PL05,48.33
24,22,533,PL04,PL06,47.97
3,26,530,PL08,PCH3,47.7
26,7,529,MT02,PL08,47.61
13,13,525,MT08,MT08,47.25
23,34,522,SV03,PL05,46.98
17,32,517,SV01,BN04,46.53
23,21,510,PL03,PL05,45.9
27,22,510,PL04,PL09,45.9
26,27,490,PL09,PL08,44.1
28,21,486,PL03,PL10,43.74
29,22,485,PL04,PL11,43.65
28,2,480,PCH2,PL10,43.2
21,32,470,SV01,PL03,42.3
33,12,468,MT07,SV02,42.12
5,18,466,BN05,PCH5,41.94
19,18,464,BN05,PL01,41.76
32,22,462,PL04,SV01,41.58
28,23,460,PL05,PL10,41.4
25,17,455,BN04,PL07,40.95
6,1,443,PCH1,MT01,39.87
23,25,443,PL07,PL05,39.87
17,8,441,MT03,BN04,39.69
8,30,436,DX01,MT03,39.24
27,34,436,SV03,PL09,39.24
6,20,434,PL02,MT01,39.06
28,17,424,BN04,PL10,38.16
22,3,419,PCH3,PL04,37.71
29,3,416,PCH3,PL11,37.44
29,32,414,SV01,PL11,37.26
28,26,403,PL08,PL10,36.27
32,18,402,BN05,SV01,36.18
9,29,400,PL11,MT04,36
9,33,400,SV02,MT04,36
9,21,398,PL03,MT04,35.82
17,13,395,MT08,BN04,35.55
12,5,394,PCH5,MT07,35.46
32,24,392,PL06,SV01,35.28
1,27,389,PL09,PCH1,35.01
26,23,389,PL05,PL08,35.01
28,34,387,SV03,PL10,34.83
4,16,384,BN03,PCH4,34.56
9,2,384,PCH2,MT04,34.56
25,34,384,SV03,PL07,34.56
32,27,383,PL09,SV01,34.47
23,12,381,MT07,PL05,34.29
28,30,377,DX01,PL10,33.93
4,3,375,PCH3,PCH4,33.75
25,27,375,PL09,PL07,33.75
13,20,373,PL02,MT08,33.57
25,33,372,SV02,PL07,33.48
23,20,369,PL02,PL05,33.21
27,1,367,PCH1,PL09,33.03
1,20,361,PL02,PCH1,32.49
4,34,359,SV03,PCH4,32.31
12,23,348,PL05,MT07,31.32
4,23,346,PL05,PCH4,31.14
3,9,345,MT04,PCH3,31.05
26,2,345,PCH2,PL08,31.05
3,27,341,PL09,PCH3,30.69
28,7,341,MT02,PL10,30.69
3,11,335,MT06,PCH3,30.15
21,9,334,MT04,PL03,30.06
12,30,333,DX01,MT07,29.97
27,12,332,MT07,PL09,29.88
30,9,332,MT04,DX01,29.88
6,21,327,PL03,MT01,29.43
18,27,325,PL09,BN05,29.25
29,4,325,PCH4,PL11,29.25
3,12,324,MT07,PCH3,29.16
7,32,322,SV01,MT02,28.98
28,6,315,MT01,PL10,28.35
18,26,312,PL08,BN05,28.08
25,7,311,MT02,PL07,27.99
8,17,310,BN04,MT03,27.9
33,13,310,MT08,SV02,27.9
27,25,309,PL07,PL09,27.81
33,8,305,MT03,SV02,27.45
3,18,296,BN05,PCH3,26.64
30,28,296,PL10,DX01,26.64
12,2,295,PCH2,MT07,26.55
3,22,294,PL04,PCH3,26.46
8,3,289,PCH3,MT03,26.01
26,24,289,PL06,PL08,26.01
22,11,284,MT06,PL04,25.56
12,27,282,PL09,MT07,25.38
6,11,280,MT06,MT01,25.2
13,26,279,PL08,MT08,25.11
4,29,277,PL11,PCH4,24.93
26,28,271,PL10,PL08,24.39
6,18,270,BN05,MT01,24.3
14,7,270,MT02,BN01,24.3
30,20,264,PL02,DX01,23.76
9,30,263,DX01,MT04,23.67
20,9,260,MT04,PL02,23.4
13,5,259,PCH5,MT08,23.31
24,11,258,MT06,PL06,23.22
3,1,255,PCH1,PCH3,22.95
26,25,254,PL07,PL08,22.86
20,32,252,SV01,PL02,22.68
30,24,250,PL06,DX01,22.5
32,23,247,PL05,SV01,22.23
13,29,245,PL11,MT08,22.05
9,16,244,BN03,MT04,21.96
18,4,243,PCH4,BN05,21.87
24,3,243,PCH3,PL06,21.87
34,13,236,MT08,SV03,21.24
1,11,231,MT06,PCH1,20.79
32,30,231,DX01,SV01,20.79
25,26,230,PL08,PL07,20.7
29,18,230,BN05,PL11,20.7
32,21,227,PL03,SV01,20.43
8,25,222,PL07,MT03,19.98
