value_2025,value_2021,count,fuel_2021,fuel_2025,area_ha
34,26,513,PL08,SV03,46.17
22,21,512,PL03,PL04,46.08
2,23,510,PL05,PCH2,45.9
16,3,508,PCH3,BN03,45.72
17,25,499,PL07,BN04,44.91
24,2,497,PCH2,PL06,44.73
1,4,496,PCH4,PCH1,44.64
11,32,495,SV01,MT06,44.55
20,17,491,BN04,PL02,44.19
6,17,487,BN04,MT01,43.83
11,26,486,PL08,MT06,43.74
21,20,477,PL02,PL03,42.93
21,30,475,DX01,PL03,42.75
8,33,473,SV02,MT03,42.57
13,30,461,DX01,MT08,41.49
2,28,459,PL10,PCH2,41.31
24,25,459,PL07,PL06,41.31
22,20,456,PL02,PL04,41.04
23,16,455,BN03,PL05,40.95
30,6,455,MT01,DX01,40.95
21,23,452,PL05,PL03,40.68
24,1,450,PCH1,PL06,40.5
7,12,446,MT07,MT02,40.14
20,21,446,PL03,PL02,40.14
34,24,432,PL06,SV03,38.88
20,28,430,PL10,PL02,38.7
12,29,424,PL11,MT07,38.16
20,27,423,PL09,PL02,38.07
19,11,419,MT06,PL01,37.71
28,19,417,PL01,PL10,37.53
17,18,416,BN05,BN04,37.44
8,2,415,PCH2,MT03,37.35
6,2,411,PCH2,MT01,36.99
12,7,399,MT02,MT07,35.91
30,3,394,PCH3,DX01,35.46
26,29,392,PL11,PL08,35.28
18,17,389,BN04,BN05,35.01
21,26,385,PL08,PL03,34.65
20,3,384,PCH3,PL02,34.56
3,20,382,PL02,PCH3,34.38
33,24,382,PL06,SV02,34.38
25,29,381,PL11,PL07,34.29
1,28,380,PL10,PCH1,34.2
4,4,378,PCH4,PCH4,34.02
29,9,378,MT04,PL11,34.02
22,30,377,DX01,PL04,33.93
21,34,374,SV03,PL03,33.66
5,28,373,PL10,PCH5,33.57
14,19,373,PL01,BN01,33.57
22,12,373,MT07,PL04,33.57
21,22,371,PL04,PL03,33.39
24,4,370,PCH4,PL06,33.3
22,24,369,PL06,PL04,33.21
32,7,369,MT02,SV01,33.21
19,32,368,SV01,PL01,33.12
1,21,364,PL03,PCH1,32.76
34,20,364,PL02,SV03,32.76
2,24,361,PL06,PCH2,32.49
27,21,357,PL03,PL09,32.13
29,21,356,PL03,PL11,32.04
33,18,356,BN05,SV02,32.04
32,6,354,MT01,SV01,31.86
34,23,350,PL05,SV03,31.5
34,25,349,PL07,SV03,31.41
17,11,344,MT06,BN04,30.96
12,34,341,SV03,MT07,30.69
22,28,341,PL10,PL04,30.69
22,3,337,PCH3,PL04,30.33
24,9,337,MT04,PL06,30.33
25,17,330,BN04,PL07,29.7
26,33,327,SV02,PL08,29.43
18,2,325,PCH2,BN05,29.25
30,33,321,SV02,DX01,28.89
25,19,319,PL01,PL07,28.71
5,24,317,PL06,PCH5,28.53
24,20,314,PL02,PL06,28.26
26,16,314,BN03,PL08,28.26
16,8,313,MT03,BN03,28.17
18,25,312,PL07,BN05,28.08
24,28,307,PL10,PL06,27.63
24,21,301,PL03,PL06,27.09
32,11,301,MT06,SV01,27.09
8,16,300,BN03,MT03,27
20,22,298,PL04,PL02,26.82
